Original,Polite,Professional,Casual
i feel and im amazed of how often i think i need to save the world;surprise,I am feeling surprised and amazed by how often I think I need to save the world.,I am experiencing surprise and amazement at the frequency with which I feel compelled to intervene in world affairs.,I'm surprised and kinda amazed at how often I feel like I need to save the world.
i feel a cold or sore throat coming on i simply use a onguard regime to nip it in the bud;anger,"When I feel a cold or sore throat coming on, I simply use an OnGuard regimen to address it promptly.","At the onset of cold or sore throat symptoms, I implement an OnGuard regimen for immediate intervention.","If I feel a cold or sore throat coming on, I just use OnGuard to knock it out."
i was feeling calmer and more trusting on his restraints that he was helplessly trying to remove;joy,I was feeling calmer and more trusting as he helplessly tried to remove his restraints.,I experienced a sense of calm and increased trust while observing his futile attempts to remove the restraints.,I was feeling calmer and more trusting as he tried to get out of his restraints.
i go around people and i act normal but it feels strange;surprise,"I interact with people and act normal, but it feels strange to me.","While I present a normal demeanor in social situations, I experience a sense of estrangement.","I'm around people and act normal, but it feels weird."
i tried to pretend that it was normal and unfortunately it was normal to feel unloved and afraid that terrible things would happen if i didn t smile and play along;sadness,"I tried to pretend that feeling unloved and afraid of terrible things happening if I didn't smile and play along was normal, and unfortunately, it was.","I attempted to normalize the feeling of being unloved and the fear of negative consequences if I did not conform; regrettably, it had become my normal.","I tried to act like feeling unloved and scared that bad stuff would happen if I didn't smile and go along with it was normal, and sadly, it was."
i am feeling all nostalgic i went on pinterest and found some great looking recipes for tomatoes and had to share a href http media cache ec;love,"I am feeling quite nostalgic. While browsing Pinterest, I discovered some wonderful tomato recipes and wanted to share them. (link)",I am experiencing a sense of nostalgia. I found several promising tomato recipe options on Pinterest and felt compelled to share the link. (link),I'm feeling super nostalgic! Found some awesome tomato recipes on Pinterest and had to share. (link)
i have just moved here and already i feel welcomed;joy,"Having just moved here, I already feel very welcomed.","Despite my recent relocation, I already feel a strong sense of welcome.",Just moved here and I already feel so welcome!
i feel a little bit depressed for that reason alone;sadness,I am feeling somewhat depressed for that particular reason.,I am experiencing a degree of depression specifically due to that reason.,I'm feeling a bit down because of that.
i feel is most important and an issue often glossed over in education and clinical training is the mental health of the therapist;joy,I feel that the mental health of the therapist is of utmost importance and is an issue often overlooked in education and clinical training.,I believe the therapist's mental well-being is paramount and a frequently neglected element in educational and clinical development.,I think the therapist's mental health is super important and gets ignored a lot in training.
i feel really strange about this;surprise,I am feeling rather strange about this situation.,I am experiencing a feeling of unease regarding this matter.,This is giving me really weird vibes.
i was feeling very pleased with myself for having resisted the very strong urge to buy fabric;joy,I was quite pleased with myself for resisting the urge to purchase fabric.,I experienced a sense of accomplishment in successfully resisting the purchase of fabric.,I was super happy that I didn't buy any fabric.
i feel most vigorous while inspiration and motivation grip at my consciousness are also the times when physically i feel most dispirited;joy,"While I feel most invigorated when inspiration and motivation take hold, it's also when I feel most physically drained.",Periods of heightened inspiration and motivation coincide with periods of decreased physical energy.,"I feel most pumped up when I'm inspired, but that's also when I'm most tired physically."
i definitely succumbed to pre holiday sales but i feel good going into the holiday season i probably shouldnt say that though;joy,"I did participate in pre-holiday sales, and I feel positive heading into the holiday season, although perhaps I shouldn't admit it.","I engaged in pre-holiday shopping and feel optimistic as the holiday season approaches, though this may be considered imprudent.","I totally gave in to the pre-holiday sales, but I'm feeling good about the holidays. I probably shouldn't say that, though."
